username,payout,points,total_payout,total_points,total_wus,date_joined
zz37y9eetszr,67.11,432376,4569.29,70042684,379,2021-04-29T01:46:21.122Z
zzw88jwyyzzk,32.4,199457,555.92,3033928,170,2021-07-08T17:57:08.783Z
zznkv6xpbh28,9.91,7222,720.47,520930,92,2021-05-26T16:34:24.28Z
zz7h9zzjss84,36.52,116926,4224.04,24725343,128,2021-04-24T18:10:24.500Z
zzocr0figgxr,35.57,240176,1677.56,12369163,161,2021-06-27T07:31:43.470Z
zz7xblz5vh75,21.26,154790,1157.37,8476866,45,2021-06-15T03:08:24.875Z
zywhpi9dit4p,22.75,55159,320.41,1075976,52,2021-07-05T15:42:19.495Z
zzj7fmzx6fbd,39.05,526672,1188.72,8499892,47,2021-06-18T02:29:42.8Z
zywzewm7w2ze,6.71,14468,1784.83,5193825,350,2021-04-27T20:29:11.251Z
zzwvtryzltcr,84.19,726713,10146.96,107930449,1072,2021-04-18T23:31:21.811Z
zxvtp9h7bs1v,10.36,33245,1014.16,2743429,130,2021-05-07T09:15:34.395Z
zygzh5nmiubo,36.81,258941,1263.91,8944735,132,2021-06-27T02:12:40.735Z
zxrlilz6xrj8,57.06,841743,6327.11,59040542,491,2021-04-20T00:50:21.375Z
zyvc2nodo068,35.09,233976,2031.3,12398817,79,2021-05-16T03:47:33.431Z
zyogvakst4yg,12.19,76138,3112.76,13247814,455,2021-04-20T20:14:13.85Z
zy1h3liskhwc,41.81,341872,6361.17,44543704,673,2021-05-02T16:39:19.542Z
zxnmy0a7w7tm,25.0,67770,1288.76,5216502,151,2021-05-13T13:04:16.904Z
zygq34v9tv10,12.22,25716,1218.81,2200911,314,2021-05-15T19:36:27.387Z
zxnnvf58tqdp,37.8,274002,4851.57,29873474,1181,2021-05-07T10:33:03.284Z
zy7aovj18kfe,9.64,3460,911.47,182867,101,2020-01-28T23:19:12.205Z
zx8vr0pnlejw,34.47,226078,2944.61,20425803,555,2021-06-07T04:08:33.802Z
zwoabh5u1qyj,40.28,136993,1372.6,5391527,100,2021-05-09T02:54:13.152Z
zx2zkzcak5j4,18.43,50842,83.86,456674,8,2021-07-15T20:29:18.369Z
zvvxd93jrvmn,35.94,244802,1114.96,7972363,95,2021-07-01T06:00:24.598Z
zx7rqklr7udl,9.74,19488,1040.02,2137309,133,2021-05-07T01:24:51.445Z
zx2goaar52cx,21.65,130382,3777.78,24599018,263,2021-05-16T18:49:22.145Z
zvqgsybh8mw8,9.87,23723,1390.8,4221901,134,2021-04-15T19:21:55.678Z
zx678fhm54hi,42.37,157836,9025.83,32131479,1998,2021-03-14T02:15:13.543Z
zwicd3dot5zw,5.57,9749,9236.92,33508095,661,2021-03-15T15:56:43.73Z
zvq1p3nj21wb,16.0,46670,3363.15,15202231,192,2021-05-06T19:20:02.423Z
zv3rwpm3zwf0,17.32,160428,2174.98,18539541,94,2021-05-18T18:43:41.969Z
zuvj075autgb,9.64,21757,1923.93,10206028,181,2021-05-20T23:27:51.483Z
zutvnjhbgmer,35.07,233664,2059.71,14113686,171,2021-06-17T23:40:05.53Z
zvp5igcak8i7,44.88,403046,4062.98,25490726,109,2021-05-04T13:40:48.137Z
zvbcy5s1kpvc,49.19,249078,3011.44,20561152,275,2021-06-07T15:02:30.423Z
zuo7rmu3bt1v,29.6,361422,1219.11,9473252,45,2021-06-15T02:06:38.889Z
zvfj9fj2pils,6.03,40661,4756.97,22687901,796,2021-03-14T00:45:04.778Z
zuml5nd9tm1r,55.41,687886,1731.88,11415508,282,2021-05-07T09:54:04.597Z
zvcbqsz5959t,33.64,215330,4396.34,27697124,464,2021-05-12T22:28:39.865Z
zuug2ez19p0r,13.55,113962,1147.44,9094528,42,2021-06-12T01:27:38.508Z
ztjx868nsae8,6.32,66855,13991.06,41863569,532,2021-02-07T18:58:00.221Z
ztmlhktx2pxv,25.6,129170,933.82,2884881,94,2021-06-06T11:03:02.301Z
zsnl4mu0s6ci,56.55,288294,3444.56,21098507,123,2021-05-20T15:10:37.578Z
ztdfc192304s,75.44,580964,19536.62,131430822,1319,2021-03-09T17:33:15.951Z
ztqtp2u06v5i,9.87,7185,752.04,1831338,177,2021-06-08T08:58:07.387Z
zsfjb716u4a6,13.59,6513,855.39,530636,109,2021-05-08T09:06:30.488Z
zsat3l1clonf,18.66,227233,166627.27,85903366,3952,2019-04-14T21:13:48.67Z
zs67ib7h3bon,9.83,19714,601.98,1335388,89,2021-06-04T05:18:12.209Z
zrswz6b1b1g1,56.32,357238,2084.01,14099872,206,2021-06-17T02:46:47.499Z
zu9byvltluk1,9.76,5584,3103.62,5172681,300,2021-03-08T13:49:31.174Z
zrh3e31l8hbl,58.56,331603,3475.95,23833806,298,2021-06-04T02:34:31.442Z
zqd4uo1f0wda,16.1,40854,562.92,1157803,112,2021-06-17T12:53:39.770Z
zr7swvvsyut4,36.19,249510,1601.7,11298263,159,2021-06-27T07:27:34.761Z
zr43t1c7t6j9,44.16,387921,1412.68,10555194,130,2021-06-28T10:28:19.295Z
zpkgfrn21gp8,22.18,163723,1328.32,9691158,61,2021-06-15T03:05:35.489Z
zp5ttycopkcq,37.94,276223,1555.78,8783075,68,2021-06-16T04:37:23.385Z
zp2jrib36uob,28.27,84964,2588.11,11951744,240,2021-05-13T15:13:19.738Z
zrjznqycqswv,59.96,967823,9148.85,131765458,876,2021-05-13T10:10:27.852Z
zpiehfkl6459,14.73,3100,491.8,139670,73,2021-05-08T05:08:16.964Z
zqkluz8lb5d2,60.1,973966,8098.62,98248070,533,2021-04-20T10:38:31.258Z
zotaumbm2h97,80.74,941310,5569.82,58373839,361,2021-05-10T22:54:45.577Z
