username,payout,points,total_payout,total_points,total_wus,created_at
zzw88jwyyzzk,39.18,882015,3196.68,45779134,1588,2021-07-08T17:57:08.783Z
zygzh5nmiubo,32.82,328119,2349.05,18439411,241,2021-06-27T02:12:40.735Z
zz37y9eetszr,93.26,1024484,10479.05,131934814,665,2021-04-29T01:46:21.122Z
zzwvtryzltcr,4.52,8500,13034.03,131734895,1467,2021-04-18T23:31:21.811Z
zzocr0figgxr,39.04,436963,4140.43,33487668,398,2021-06-27T07:31:43.470Z
zz4wz65z2t99,31.75,312255,7939.1,51755462,624,2021-04-12T16:59:51.926Z
zyvc2nodo068,29.15,273060,3614.19,25030257,146,2021-05-16T03:47:33.431Z
zxvtp9h7bs1v,2.6,10838,1471.16,4092094,216,2021-05-07T09:15:34.395Z
zywzewm7w2ze,2.43,25104,2491.05,10098190,618,2021-04-27T20:29:11.251Z
zy1h3liskhwc,29.11,295636,9276.28,69842742,1056,2021-05-02T16:39:19.542Z
zvvxd93jrvmn,32.59,324742,3134.13,25268461,296,2021-07-01T06:00:24.598Z
zx7rqklr7udl,3.5,21305,1535.27,3422622,233,2021-05-07T01:24:51.445Z
zvhe885vzhmg,35.22,368246,2111.08,16952986,164,2021-07-21T15:55:20.779Z
zwi0kddqankb,22.27,109599,5597.42,29362610,543,2021-04-19T10:46:17.809Z
zwxeh9vufha6,3.94,24324,124.45,371917,42,2021-08-01T08:21:22.16Z
zvbsnbn58w28,2.57,7440,729.57,435170,176,2021-05-18T18:01:23.346Z
zx678fhm54hi,41.71,219476,11100.08,40009214,2139,2021-03-14T02:15:13.543Z
zx2goaar52cx,9.96,67770,4922.63,33357989,339,2021-05-16T18:49:22.145Z
zvd6suegb6e5,16.54,125127,5518.3,54259315,203,2021-05-18T01:23:02.683Z
zuvj075autgb,5.45,34039,2475.66,11778456,273,2021-05-20T23:27:51.483Z
zsqqyha53gtr,2.6,8809,34.13,114290,20,2021-08-17T01:47:11.354Z
ztqtp2u06v5i,4.12,25545,1717.61,6669601,436,2021-06-08T08:58:07.387Z
zu9byvltluk1,2.61,13442,3557.77,6733111,367,2021-03-08T13:49:31.174Z
zsf0vzrfmqlo,23.16,196553,848.2,5811518,71,2021-06-20T16:33:03.914Z
zsfjb716u4a6,4.63,6575,1277.39,903113,159,2021-05-08T09:06:30.488Z
zugd60dh8hfk,5.51,34829,5218.75,5490728,515,2020-11-04T05:07:47.254Z
ztdfc192304s,55.98,318549,25047.11,173007730,1684,2021-03-09T17:33:15.951Z
zutvnjhbgmer,7.96,52444,4583.2,35507761,411,2021-06-17T23:40:05.53Z
zt71u5pip8o6,23.25,197504,5555.07,26994960,524,2021-04-28T03:37:17.191Z
zs704nargz31,39.26,231376,21483.95,203172221,2417,2021-03-09T13:01:10.611Z
zqt42xigory0,1.34,4940,404.57,244662,104,2019-09-14T02:54:10.148Z
zrxl2yql5x20,6.73,82854,1359.8,17462607,152,2021-05-23T23:26:18.347Z
zrr15v7mo6pn,27.85,255801,3041.37,19531733,198,2021-05-11T18:48:25.878Z
zs67ib7h3bon,3.25,19747,1080.99,2527490,194,2021-06-04T05:18:12.209Z
zqkluz8lb5d2,51.15,700402,12273.71,158067612,848,2021-04-20T10:38:31.258Z
zqd4uo1f0wda,10.42,41748,1291.27,2738192,232,2021-06-17T12:53:39.770Z
zr7swvvsyut4,31.26,304891,4281.09,33960684,423,2021-06-27T07:27:34.761Z
zr43t1c7t6j9,29.66,280915,4173.88,34168292,414,2021-06-28T10:28:19.295Z
zqx8tjdo84gi,28.88,269480,8455.55,36209459,1249,2021-03-08T15:13:09.960Z
zrjznqycqswv,47.45,1259322,12902.85,205520766,1337,2021-05-13T10:10:27.852Z
zo6vai1k8z5z,2.61,14987,370.93,577834,53,2021-03-10T15:55:51.284Z
znm19tpld6vn,1.57,5570,1096.64,618191,242,2021-02-25T17:25:54.524Z
znjs4dp9e4vm,2.62,6510,1512.52,3590650,223,2021-05-12T19:26:47.177Z
zoyp8i4yyhy7,22.46,105520,4110.25,14358502,496,2021-04-30T14:19:41.560Z
zndju9el7xr2,89.56,1486109,22450.7,410330823,2814,2021-04-24T04:24:33.793Z
zneevolqriwn,27.35,281921,9941.63,60422650,512,2020-02-12T17:34:26.335Z
zobkz7s63azn,3.2,54328,14116.52,16621041,595,2019-07-14T03:20:05.432Z
zn0het1kailu,14.73,59925,5304.61,31554534,487,2021-03-27T15:16:36.28Z
znbznb8k858l,24.37,766017,24671.24,446041637,2876,2021-02-03T09:35:32.510Z
zn9jl54cfrv1,16.72,126783,4196.55,33133450,414,2021-06-17T02:48:43.943Z
zme9qzrgorhs,4.0,6488,421.23,212557,59,2020-05-20T03:53:21.308Z
zmmhcer3bclp,8.67,57656,3143.34,24350956,460,2021-05-11T03:32:49.824Z
zmg99isfipib,38.26,422172,28051.5,169014457,1324,2021-02-18T11:58:28.22Z
zm62l621q7du,28.13,259556,8448.77,55005216,717,2021-04-19T00:57:20.185Z
zl79hpt4rkyk,66.56,1248298,24152.15,319653204,2357,2021-03-17T20:36:34.549Z
zm2drgu8t7id,24.39,210868,4033.9,32578117,379,2021-06-28T10:29:30.493Z
zkrwbodiz7h5,56.65,321457,7673.93,61984187,623,2021-05-06T19:22:15.135Z
ziyqp7gg32qe,56.34,321640,6474.52,39746314,500,2021-06-16T04:41:34.988Z
zkxnsdiwget5,13.48,97102,2847.11,18753032,467,2021-05-29T19:12:28.818Z
zmg05cpliaob,5.45,21405,2164.41,6195738,509,2021-03-04T16:51:54.525Z
zgi1cokedbg0,24.73,214811,2509.12,19357855,231,2021-06-27T02:13:38.983Z
zgmnjd8i0qu4,11.34,79030,2202.01,14732177,83,2021-05-28T03:03:45.413Z
zgt3awwov2jk,4.27,7551,788.35,821638,85,2021-05-17T16:55:22.345Z
zix2y9ff6vnm,1.74,6312,437.14,206826,72,2021-05-26T15:03:57.511Z
zhv9f1995nji,2.99,19738,2577.7,11803923,417,2021-05-17T18:24:22.3Z
zgwyt89bkpvg,45.29,264279,5963.66,50104132,412,2021-03-23T18:34:53.641Z
zgyq9h1nwfau,2.67,11098,2553.46,4818003,392,2021-01-19T22:41:22.625Z
zhuvrt7r7jmy,29.92,182916,67357.07,106260374,2846,2020-03-31T23:05:11.61Z
zg7i9zi8she7,15.78,118154,3878.69,19943463,357,2021-05-06T15:38:14.98Z
zg58ldxeyfik,4.45,10838,1979.48,3036314,462,2021-05-13T04:38:48.950Z
zedples1y7r7,2.58,5780,901.69,468493,175,2021-04-19T22:58:22.424Z
zep9bvsx0v1n,33.72,342958,2370.27,18480329,245,2021-06-27T02:11:12.94Z
ze7xi77ingmq,12.32,87032,1919.78,6615164,317,2021-06-02T03:27:31.34Z
ze9tnl0nks84,1.67,10144,1165.79,1568428,218,2021-04-12T11:15:23.233Z
zdz2ax3x2wbk,2.67,3400,2965.92,7317597,492,2021-04-08T11:03:11.746Z
zedndrjuxdia,24.68,214281,3979.73,31939613,388,2021-06-27T07:28:41.128Z
zf4jlpw30jj9,25.21,220414,5595.91,41200340,154,2021-04-28T17:52:00.273Z
zewo9i1pmkt5,4.24,3400,6203.08,2687963,519,2020-05-02T17:45:21.0Z
