username,payout,points,total_payout,total_points,total_wus
tfgjdryn2a11,108.3,2117053,461482.06,1537511471,12603
hkvbmviprr4c,46.18,1781600,177078.53,698194740,3753
vmiarc39yres,37.25,834141,2195222.42,6298078841,46021
6m5khs4cnqq2,169.1,4800054,612597.24,3127601414,25858
tkmrq8rmmql0,112.38,2296179,646986.81,2068904807,9975
5ps4i9lmt3px,98.97,1722775,228246.77,657658198,7807
iwlkj0u7stra,66.01,658375,323225.95,615592039,8964
rv8fxr56dolc,29.09,569048,607623.06,1300462896,11736
alzwi0b7lu03,105.57,998722,516244.68,1130553998,6659
rly2g8kduq2h,127.27,2967467,53880.16,442350782,2022
1r5o02d1nxjl,46.58,1817347,86483.99,406465662,2843
hguh04wdx4py,154.35,7710432,23568.6,477485210,2509
19lv1u44rnu2,130.3,3104979,41965.63,401703663,2315
j6zzeyxavupt,37.43,706998,238276.59,476481388,3970
9ts44bgacp8g,49.16,2054889,77010.68,458756768,2340
hdlpt90ypbnb,162.74,1662189,334368.01,492576722,4705
ddvtsqvzb26g,42.95,1427110,119717.32,489031579,3757
29i1oe6kw2uc,14.75,17128,423344.41,385895747,6978
xcrufix45v3f,38.75,1058918,150130.78,377005812,4414
wpicku03fo9m,20.38,355970,35983.13,305017649,1993
70vnj3hsb6yb,22.99,280388,32731.95,316045352,2664
hsy6urcpwzj3,21.27,231417,31642.04,339652333,1980
tg3ct6093qb7,141.49,3609705,20348.41,309592213,1622
s09l9wtxf7yk,22.68,384230,36845.57,345548312,2045
3qqyfkf7gl0q,22.88,504756,29217.55,313139034,1959
lzs3tpytaxft,31.14,863055,152503.1,332442161,2727
a18de3pcr2kl,31.12,602965,31499.6,303093152,1749
u888sz04cbvb,23.08,487640,30500.18,294323781,2058
3gm4chjkp59d,46.03,270189,279976.31,308424403,2673
yjo915e8wwtr,17.83,186579,34254.25,289704683,1745
4yrn48as3zfb,83.4,1145616,22078.18,263818317,1313
knoj3mpnbmaj,28.95,1123154,19980.71,262622482,1221
j9nqho75dg5g,37.38,970430,131789.97,274678352,3163
pqgkxo1nicav,43.91,1504916,85534.82,267479425,1598
0a4j39bdapty,117.08,2505664,21957.62,254676410,1057
jwsaqj967kkw,156.88,4285111,24897.94,266548817,1311
1n7t8823hjtd,34.82,861719,240963.84,254310450,47842
epw82116eh17,29.54,374622,202283.15,248080253,4186
4xyomu3c6s8b,77.01,403116,184435.7,246120875,2987
8p831icill70,114.7,2399303,20786.47,244599633,1559
k2rdhosk79dl,118.55,2572000,21001.52,242345723,1099
xabr0vaq3n5b,131.68,3167740,24984.84,240578534,1050
